area,h1,h2,h3,h4,h5,h6,h7
12450.5,0.449047,0.0372305,0.00276118,0.000293573,5.60949e-08,2.12566e-05,2.58294e-07,
12450.5,0.449047,0.0372305,0.00276118,0.000293573,5.60949e-08,2.12566e-05,2.58294e-07,
11659.5,0.468119,0.0408429,0.00428013,0.000601851,5.74581e-07,7.74101e-05,7.76498e-07,
12094,0.461444,0.0411799,0.00197193,0.000187402,-1.39766e-08,6.31029e-06,1.13061e-07,
12095,0.461308,0.0410825,0.0019974,0.000190576,-1.22457e-08,6.92436e-06,1.16941e-07,
12579,0.44075,0.0361282,0.00267506,0.000302035,5.04056e-08,1.92954e-05,2.66769e-07,
12588.5,0.440567,0.0360649,0.0026904,0.000305887,5.58648e-08,2.00917e-05,2.71811e-07,
11782.5,0.464404,0.0419473,0.00352078,0.000382795,1.16472e-07,3.13804e-05,4.2886e-07,
12519.5,0.442507,0.0364364,0.0019883,0.000258305,4.57772e-08,1.96975e-05,1.79365e-07,
12614.5,0.442985,0.0368238,0.002256,0.000287269,8.10918e-08,2.40767e-05,2.16578e-07,
12651,0.441839,0.0364102,0.0021466,0.000276414,6.99661e-08,2.23162e-05,2.01096e-07,
12656,0.44171,0.0363843,0.00214413,0.00027438,6.91459e-08,2.21258e-05,1.9877e-07,
12633,0.439447,0.0355588,0.00210043,0.000233116,4.44944e-08,1.67889e-05,1.56937e-07,
12972.5,0.433972,0.0345351,0.00162463,0.000206387,4.30887e-08,1.81725e-05,1.11471e-07,
12957,0.432548,0.0341241,0.00147462,0.000177118,2.30501e-08,1.35159e-05,8.7534e-08,
13144,0.428715,0.0327737,0.00140401,0.000206865,4.48524e-08,1.8709e-05,1.02065e-07,
13116.5,0.429322,0.0328219,0.00145057,0.000202663,4.14079e-08,1.76333e-05,1.01783e-07,
13136.5,0.42851,0.0321952,0.00137484,0.000186579,3.74956e-08,1.70095e-05,8.67404e-08,
13001.5,0.430049,0.0327313,0.00151355,0.000196599,3.10085e-08,1.55749e-05,1.02663e-07,
13094,0.427629,0.0318682,0.00140052,0.000181665,3.38934e-08,1.6622e-05,8.51339e-08,
13038,0.427217,0.0308305,0.00136179,0.000147703,1.84719e-08,1.07709e-05,6.36152e-08,
13007.5,0.427279,0.0311297,0.00140647,0.000151866,1.80624e-08,1.09137e-05,6.78228e-08,
12954.5,0.430199,0.031701,0.00151496,0.000136,8.05159e-09,7.05289e-06,6.12043e-08,
13084,0.430393,0.0313968,0.00173955,0.000137398,9.20257e-09,7.16912e-06,6.65384e-08,
13098.5,0.43038,0.0312984,0.00164628,0.000125595,1.44421e-09,5.03389e-06,5.70917e-08,
13096,0.430394,0.0312687,0.00165282,0.000127117,1.85201e-09,5.19372e-06,5.82368e-08,
13403,0.420415,0.0288689,0.0015444,0.000108379,1.5845e-09,4.79698e-06,4.43121e-08,
13509.5,0.416961,0.028561,0.00133212,0.000110934,2.22192e-09,5.33842e-06,4.25871e-08,
13354.5,0.42148,0.0285065,0.00129558,0.000121015,9.83604e-09,7.53858e-06,4.68967e-08,
13373.5,0.423751,0.0298712,0.00142032,0.000121712,1.14803e-08,7.38895e-06,4.92853e-08,
13373.5,0.423751,0.0298712,0.00142032,0.000121712,1.14803e-08,7.38895e-06,4.92853e-08,
13350,0.423945,0.0300441,0.0013098,0.000118309,1.21501e-08,7.8725e-06,4.49597e-08,
13240.5,0.425234,0.0294241,0.00128951,0.000131886,1.87444e-08,1.00629e-05,5.10571e-08,
13364.5,0.425041,0.0298711,0.00143636,0.000152565,3.61174e-08,1.43741e-05,6.16131e-08,
13339,0.424872,0.0300319,0.00141931,0.000167643,4.33123e-08,1.61912e-05,6.9362e-08,
13456,0.421234,0.0292909,0.001341,0.000150806,3.28258e-08,1.3686e-05,5.93434e-08,
13532,0.421146,0.0289824,0.00130634,0.000139868,2.28018e-08,1.1043e-05,5.52682e-08,
13562.5,0.420069,0.028764,0.00121466,0.00012608,1.65522e-08,9.29699e-06,4.64803e-08,
13554.5,0.419402,0.0291528,0.00128117,0.000136992,2.33782e-08,1.17829e-05,5.24142e-08,
13538,0.420418,0.0293016,0.00129961,0.000136683,2.38262e-08,1.16866e-05,5.24491e-08,
13000.5,0.434104,0.0334953,0.00146388,0.000170809,4.51779e-08,1.93061e-05,7.24856e-08,
13118,0.427591,0.0335775,0.002031,0.000229701,1.24003e-07,3.29588e-05,9.61165e-08,
13658.5,0.426376,0.0372361,0.00168964,0.000248407,9.85849e-08,3.5894e-05,1.27201e-07,
13704.5,0.425477,0.0368527,0.00165841,0.000248549,9.45889e-08,3.54574e-05,1.28518e-07,
13714.5,0.425178,0.0368525,0.00167359,0.000248245,9.5769e-08,3.57632e-05,1.28185e-07,
13709.5,0.425304,0.0382993,0.00165704,0.000191918,6.73993e-08,3.0015e-05,8.46796e-08,
13559.5,0.435637,0.0417699,0.0015392,0.000214303,6.79188e-08,3.22203e-05,1.02644e-07,
13281.5,0.436117,0.040614,0.00157381,0.000263958,1.26672e-07,4.65736e-05,1.13571e-07,
13246.5,0.438533,0.0412115,0.00148345,0.000226823,9.46931e-08,3.99242e-05,9.1349e-08,
13665.5,0.435661,0.0419938,0.00117456,0.000171887,5.55787e-08,3.00536e-05,5.36271e-08,
13656,0.436107,0.0422035,0.00118485,0.000174853,5.68391e-08,3.04139e-05,5.57079e-08,
13601.5,0.43564,0.0421432,0.00123672,0.000189131,7.18871e-08,3.46288e-05,5.65597e-08,
13620,0.436221,0.0420783,0.00116828,0.000182461,6.79983e-08,3.37565e-05,4.97283e-08,
13541.5,0.443305,0.0455422,0.00100561,0.00016411,4.86871e-08,3.00078e-05,4.55431e-08,
13379,0.440755,0.0441918,0.00128961,0.000262078,1.21408e-07,4.96128e-05,9.20552e-08,
13483.5,0.438089,0.0432106,0.000814527,0.000172974,4.86463e-08,3.12736e-05,4.30005e-08,
13432,0.439011,0.0433999,0.000901204,0.000169886,4.86979e-08,3.0156e-05,4.52462e-08,
13593,0.437962,0.0434133,0.000950744,0.000138901,3.84717e-08,2.56681e-05,3.26778e-08,
13587,0.437518,0.0433386,0.00100104,0.000147547,4.56326e-08,2.79933e-05,3.36621e-08,
13722,0.435085,0.0424059,0.000972388,0.000153259,4.74977e-08,2.86517e-05,3.52757e-08,
13721.5,0.435986,0.0420887,0.000828901,0.000126275,3.12623e-08,2.35144e-05,2.62993e-08,
13715,0.436775,0.042251,0.000824372,0.00012261,2.87558e-08,2.24769e-05,2.6317e-08,
13676.5,0.436406,0.0424076,0.000802525,0.000129254,3.14996e-08,2.40816e-05,2.72163e-08,
13667,0.434158,0.0414305,0.000591126,9.00157e-05,1.68182e-08,1.76342e-05,1.2178e-08,
13631.5,0.43602,0.0416896,0.000623099,8.9406e-05,1.66056e-08,1.72881e-05,1.30214e-08,
