area,h1,h2,h3,h4,h5,h6,h7
8003,0.329061,0.0034342,0.000841017,1.52644e-05,-1.10404e-09,8.6407e-07,1.33126e-09,
7989,0.32824,0.00345945,0.000840926,1.96103e-05,-2.47286e-09,1.12484e-06,4.76115e-10,
8138,0.323671,0.00302082,0.000562221,2.42623e-05,-2.13964e-09,1.33269e-06,1.85788e-09,
8117.5,0.326329,0.00328767,0.000620578,3.5998e-05,-2.27811e-09,2.03362e-06,4.87432e-09,
8145,0.32663,0.00319817,0.000681635,3.99003e-05,-5.39687e-09,2.24886e-06,3.76472e-09,
8188,0.322911,0.00328828,0.000604311,2.09511e-05,-2.18797e-09,1.16137e-06,8.77697e-10,
8162,0.325662,0.00331295,0.000660488,2.13426e-05,-2.12984e-09,1.22091e-06,1.3729e-09,
8256.5,0.327461,0.0032398,0.000522022,2.19528e-05,3.56876e-10,9.86865e-07,2.32281e-09,
8310,0.328061,0.00346327,0.000394973,1.79702e-05,2.08046e-10,8.77369e-07,1.49959e-09,
8305.5,0.326053,0.00342203,0.000389624,1.75387e-05,-1.03586e-10,9.23094e-07,1.44613e-09,
8248,0.327362,0.00324402,0.000374028,1.89854e-05,-2.3481e-10,9.52559e-07,1.58253e-09,
8341.5,0.326289,0.00363106,0.000463185,1.44006e-05,-1.04587e-09,8.63744e-07,5.37942e-10,
8400.5,0.328788,0.00379055,0.00037506,1.46261e-05,-2.11997e-10,8.13057e-07,1.06234e-09,
8360.5,0.327898,0.00395888,0.0004615,8.14849e-06,-4.3935e-10,5.11714e-07,2.3804e-10,
8385,0.330593,0.00454653,0.000451791,6.32188e-06,-8.04205e-11,3.9009e-07,3.2815e-10,
8383,0.330953,0.00448897,0.000456071,7.33868e-06,5.97721e-11,3.91798e-07,4.20335e-10,
8395,0.330972,0.00437265,0.000371921,6.3938e-06,-1.58053e-10,4.11196e-07,2.68762e-10,
8414.5,0.331477,0.00461551,0.000334027,4.83258e-06,-1.62935e-10,3.27774e-07,1.05595e-10,
8466,0.330745,0.00450666,0.00033621,3.90523e-06,-1.72467e-11,2.2749e-07,1.40451e-10,
8459.5,0.330473,0.00451522,0.000304688,2.67712e-06,-5.43738e-11,1.78867e-07,5.37543e-11,
8512,0.330216,0.00473857,0.000277972,1.33536e-06,-2.06787e-11,6.76736e-08,-1.5307e-11,
8475,0.333229,0.00488807,0.000298919,1.97085e-06,2.47486e-11,-8.04614e-09,-4.09367e-11,
8474.5,0.333308,0.00496568,0.000263924,1.05327e-06,4.862e-12,9.07753e-09,-1.68744e-11,
8470.5,0.333242,0.00498116,0.000265134,1.14866e-06,-3.63937e-12,3.31223e-08,-1.97125e-11,
8583,0.332069,0.00499224,0.000307895,4.67709e-08,-1.08038e-13,-3.2191e-09,-1.40817e-13,
8636.5,0.330672,0.00508712,0.000380389,5.37657e-07,6.41439e-12,-3.17794e-08,4.23992e-12,
8710.5,0.330917,0.00491744,0.000345678,1.54625e-06,-3.50855e-11,-7.42461e-08,6.85164e-12,
8779.5,0.329963,0.00458728,0.00034146,5.34494e-06,-1.36729e-10,-3.61487e-07,1.82879e-10,
8789.5,0.330321,0.00455293,0.000336335,4.26333e-06,-1.46116e-10,-2.59653e-07,6.86484e-11,
8800.5,0.33039,0.00456617,0.000336694,3.69732e-06,-1.06329e-10,-2.33637e-07,7.55756e-11,
8835,0.328677,0.00469145,0.000419391,1.09152e-05,-5.18782e-10,-7.28025e-07,5.25602e-10,
8882,0.3264,0.00414287,0.000370443,1.42449e-05,-9.43577e-10,-8.7662e-07,4.24788e-10,
8876.5,0.326336,0.00414922,0.000373203,1.483e-05,-1.02543e-09,-9.05391e-07,4.07102e-10,
8703,0.329493,0.00411316,0.000426401,1.75523e-05,-1.27087e-09,-1.11728e-06,8.3106e-10,
8846.5,0.325415,0.00410532,0.000484199,2.23646e-05,-1.88568e-09,-1.42003e-06,1.36402e-09,
8668,0.327326,0.00396005,0.000683754,3.13056e-05,-4.26838e-09,-1.92603e-06,1.66104e-09,
8669.5,0.327297,0.00395667,0.000683722,3.12682e-05,-4.27663e-09,-1.92642e-06,1.61634e-09,
8661,0.327924,0.00394527,0.000693595,3.25219e-05,-4.18841e-09,-1.93361e-06,2.513e-09,
8737.5,0.326441,0.00384445,0.000709139,3.12528e-05,-2.69078e-09,-1.64512e-06,3.79562e-09,
8956,0.325685,0.00417659,0.000513196,4.11276e-05,-2.27343e-09,-1.8073e-06,5.52565e-09,
8783,0.327108,0.00410141,0.000690279,4.2456e-05,-1.10989e-09,-1.05411e-06,7.18285e-09,
8774,0.327889,0.0041048,0.000719701,4.31732e-05,-7.80037e-10,-1.05157e-06,7.57014e-09,
8942.5,0.326817,0.0040898,0.000513229,4.81715e-05,6.31694e-10,-6.38748e-07,7.54788e-09,
8953,0.326461,0.00412421,0.000515521,4.81367e-05,1.16709e-09,-5.3212e-07,7.49259e-09,
8518.5,0.327606,0.00344896,0.000547507,4.5855e-05,3.85557e-09,9.35101e-09,6.15829e-09,
8878.5,0.323052,0.00391535,0.000970859,8.04432e-05,1.4032e-09,-7.30205e-07,2.2437e-08,
8898,0.324227,0.00395302,0.000736455,7.06961e-05,2.57314e-09,-6.59887e-08,1.59246e-08,
8847,0.326343,0.00408055,0.00086567,8.205e-05,5.37051e-09,6.20976e-07,2.11975e-08,
8848,0.321729,0.00303001,0.00101293,0.000101994,1.39153e-08,7.08573e-07,2.96832e-08,
8877,0.321403,0.00311906,0.000947941,9.95576e-05,1.21706e-08,6.98696e-07,2.80588e-08,
8864.5,0.320329,0.00291128,0.00106385,0.000108455,1.5621e-08,6.52849e-07,3.33636e-08,
8836.5,0.323737,0.00315818,0.000902741,9.53941e-05,1.18949e-08,1.22941e-06,2.53411e-08,
8665,0.328421,0.003283,0.00120281,9.98534e-05,1.60543e-08,2.02593e-06,3.06559e-08,
