area,h1,h2,h3,h4,h5,h6,h7
3920.5,1.58678,1.18019,0.385662,0.209185,0.00920275,-0.0252032,0.0586983,
4232.5,1.50808,1.0844,0.306632,0.15559,0.00270048,-0.0289159,0.033877,
4295.5,1.49444,1.04987,0.31227,0.156475,0.00290287,-0.0272617,0.0344666,
4294.5,1.50675,1.07843,0.308261,0.142533,-0.00165305,-0.0416632,0.0298308,
4293.5,1.50784,1.08041,0.307927,0.142195,-0.00173823,-0.0419361,0.0297035,
4300,1.51079,1.09174,0.315151,0.149459,-3.80688e-05,-0.0358581,0.0324371,
4324.5,1.53527,1.10074,0.334819,0.155867,-0.000879162,-0.0435326,0.0355962,
4367,1.52929,1.09854,0.328638,0.163248,0.0030049,-0.0309011,0.0376924,
4343.5,1.53787,1.10603,0.330481,0.158309,-0.000317408,-0.041576,0.036209,
4428,1.52681,1.08904,0.30381,0.142896,-0.00256209,-0.0499115,0.029663,
4458.5,1.51917,1.09098,0.313568,0.150124,0.000118882,-0.0420097,0.0325716,
4518.5,1.51746,1.05959,0.316638,0.153233,-0.000908836,-0.0462788,0.0337404,
4525,1.51375,1.06867,0.332436,0.159076,0.000997256,-0.0397817,0.0365679,
4525,1.51375,1.06867,0.332436,0.159076,0.000997256,-0.0397817,0.0365679,
4484.5,1.53767,1.1357,0.325955,0.153406,0.00119505,-0.0411257,0.0342831,
4531,1.53292,1.10409,0.338465,0.154322,-0.00111987,-0.0476177,0.0352517,
4490,1.55972,1.14361,0.359757,0.165197,0.0013971,-0.0409384,0.0402482,
4498,1.55871,1.14412,0.357823,0.161692,0.000525547,-0.0428912,0.038889,
4433,1.58718,1.17134,0.368445,0.169357,-0.000735245,-0.0548322,0.0422986,
4487,1.58575,1.17372,0.35771,0.162723,-0.00187979,-0.0554646,0.039214,
4523,1.57062,1.14356,0.361615,0.171795,0.00155907,-0.0434655,0.042791,
4564.5,1.55853,1.13124,0.34064,0.158956,-0.00116017,-0.0534989,0.03697,
4564.5,1.55853,1.13124,0.34064,0.158956,-0.00116017,-0.0534989,0.03697,
4596,1.56873,1.14407,0.333668,0.160207,0.00102485,-0.0459125,0.0370264,
4666,1.55325,1.11168,0.348677,0.159024,0.00190108,-0.040883,0.0373978,
4676.5,1.55047,1.12395,0.34471,0.171165,0.00783416,-0.023092,0.0408318,
4682.5,1.54864,1.12055,0.342243,0.169076,0.00718994,-0.0247681,0.040031,
4680.5,1.55151,1.12255,0.335999,0.159226,0.00332156,-0.0379158,0.0366789,
4679.5,1.56286,1.13609,0.331288,0.142669,-0.00431181,-0.0596221,0.0307155,
4646,1.57199,1.1551,0.347943,0.157935,7.35947e-05,-0.0468785,0.0370228,
4771,1.5555,1.10412,0.317331,0.143144,-0.00292108,-0.0537622,0.0303681,
4773.5,1.55395,1.10146,0.315842,0.14176,-0.00337155,-0.0552677,0.0298059,
4831,1.5336,1.07789,0.309466,0.140297,-0.00318277,-0.0544412,0.0290597,
4806,1.54847,1.08712,0.314607,0.150891,-0.00118717,-0.0503496,0.0328546,
4752.5,1.55843,1.09859,0.330538,0.155401,-0.00337687,-0.0585245,0.035058,
4760.5,1.55794,1.09664,0.329507,0.153985,-0.00352156,-0.0591291,0.0345063,
4760,1.56183,1.11434,0.326837,0.151316,-0.00266151,-0.0575084,0.0335451,
4903,1.5323,1.08066,0.292061,0.138919,-0.00203163,-0.0534916,0.0279083,
4924,1.53466,1.07958,0.292621,0.147798,0.00083877,-0.0454881,0.0307252,
4923,1.53456,1.08012,0.292911,0.147803,0.000832939,-0.0453331,0.0307421,
4907.5,1.5496,1.11745,0.30028,0.151431,0.00359544,-0.0403191,0.0320906,
4946,1.55253,1.12594,0.290518,0.149305,0.00375301,-0.0391278,0.0308682,
5191,1.51491,1.1343,0.226992,0.176072,0.0199441,0.0305044,0.0290045,
5286,1.49544,1.10435,0.207642,0.150714,0.0129332,0.0107544,0.0233146,
5286,1.49544,1.10435,0.207642,0.150714,0.0129332,0.0107544,0.0233146,
5219.5,1.51198,1.12114,0.221638,0.153808,0.0131045,0.00675951,0.0251939,
5187.5,1.51204,1.11043,0.242582,0.173375,0.0190914,0.0232311,0.0299956,
5287,1.49191,1.06874,0.215236,0.138821,0.00884778,-0.0105368,0.0223053,
5277,1.49486,1.07184,0.21652,0.138022,0.00833229,-0.0130132,0.0223578,
5229.5,1.50291,1.08844,0.221476,0.143553,0.00937984,-0.0105532,0.0238159,
5222.5,1.50667,1.06393,0.235636,0.14608,0.00853112,-0.0192053,0.0257246,
5267,1.49364,1.04401,0.228849,0.13922,0.00708623,-0.0204059,0.0238184,
5203,1.509,1.07471,0.230556,0.148823,0.00929346,-0.0119581,0.0259535,
5203.5,1.50902,1.07438,0.230328,0.148778,0.00928784,-0.0120465,0.0259276,
5175,1.50838,1.03865,0.247195,0.131967,0.00170134,-0.0427611,0.0237744,
5171,1.49424,1.02113,0.252969,0.128745,-0.000312644,-0.0475672,0.0232321,
5316,1.48874,1.04665,0.214035,0.137138,0.00776042,-0.0150786,0.0221765,
5316,1.48874,1.04665,0.214035,0.137138,0.00776042,-0.0150786,0.0221765,
5349.5,1.47284,1.02683,0.21711,0.133447,0.00720372,-0.0169142,0.0215418,
5346,1.47544,1.02653,0.215873,0.137469,0.00828032,-0.0124823,0.0221865,
5348,1.47633,1.02581,0.216981,0.139166,0.0089065,-0.0108007,0.0224831,
5286,1.49218,1.04892,0.219319,0.140676,0.00904098,-0.0111707,0.0229964,
5286,1.49218,1.04892,0.219319,0.140676,0.00904098,-0.0111707,0.0229964,
5197,1.4876,1.00923,0.246457,0.122176,-0.0014056,-0.0527821,0.021154,
